# Analytical C(K) for STC model with ER backbone
# c = 3.000000
# f = 0.100000
# <K> = 3.900000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.059172
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
9024354   0.00000000e+00   0.00092038   0.00092038   865626.17056920   37477397154.33973694
9865167   0.00000000e+00   0.00090740   0.00090740   939594.27845801   44154992100.61286163
10784319   0.00000000e+00   0.00089469   0.00089469   1019924.88274575   52026729782.34847260
11789110   0.00000000e+00   0.00088222   0.00088222   1107168.46663496   61306884558.92276764
12887518   0.00000000e+00   0.00087000   0.00087000   1201923.18016943   72248277345.38050842
14088267   0.00000000e+00   0.00085802   0.00085802   1304839.41938137   85149280682.80311584
15400892   0.00000000e+00   0.00084627   0.00084627   1416624.00026233   100361999119.43751526
16835816   0.00000000e+00   0.00083474   0.00083474   1538045.21289662   118301988375.50428772
18404434   0.00000000e+00   0.00082344   0.00082344   1669938.30001112   139459738495.76065063
20119202   0.00000000e+00   0.00081236   0.00081236   1813211.17709684   164414201607.17483521
21993738   0.00000000e+00   0.00080148   0.00080148   1968850.96555854   193848823598.08413696
24042927   0.00000000e+00   0.00079082   0.00079082   2137930.64830240   228570400764.58889771
26283042   0.00000000e+00   0.00078035   0.00078035   2321616.82652375   269531453758.10098267
28731872   0.00000000e+00   0.00077008   0.00077008   2521177.80241772   317856594142.63946533
31408863   0.00000000e+00   0.00075999   0.00075999   2737992.46195014   374873691488.17205811
34335273   0.00000000e+00   0.00075010   0.00075010   2973560.00778016   442150718302.77850342
37534341   0.00000000e+00   0.00074039   0.00074039   3229510.51054298   521539281823.28155518
41031471   0.00000000e+00   0.00073085   0.00073085   3507616.32788832   615226047549.68041992
44854434   0.00000000e+00   0.00072149   0.00072149   3809804.59626959   725793530518.58837891
49033587   0.00000000e+00   0.00071230   0.00071230   4138170.67781497   856291885022.55981445
53602119   0.00000000e+00   0.00070328   0.00070328   4494993.30721433   1010323964403.91491699
58596308   0.00000000e+00   0.00069441   0.00069441   4882750.13610533   1192145475602.65869141
64055812   0.00000000e+00   0.00068571   0.00068571   5304135.43558119   1406783679519.47924805
70023987   0.00000000e+00   0.00067716   0.00067716   5762079.34048307   1660177744557.10522461
76548225   0.00000000e+00   0.00066876   0.00066876   6259768.04832891   1959344260335.48559570
83680336   0.00000000e+00   0.00066051   0.00066051   6800666.75802801   2312573436124.73681641
91476957   0.00000000e+00   0.00065240   0.00065240   7388543.96924945   2729660693961.79736328
100000000   0.00000000e+00   0.00064444   0.00064444   8027497.99531180   3222180489242.87744141
